order_id,product_id,quantity,unit_price
100000,P006,4,11.6
100001,P002,2,10.15
100002,P043,4,17.23
100003,P041,2,18.06
100003,P032,1,11.54
100003,P048,4,14.06
100004,P025,2,13.24
100004,P019,2,9.36
100005,P029,3,12.37
100006,P034,3,10.28
100006,P024,1,10.3
100007,P027,4,11.77
100007,P003,4,16.09
100007,P023,2,17.66
100007,P039,3,17.07
100008,P022,3,11.12
100009,P002,1,9.96
100009,P005,3,7.26
100010,P010,4,12.34
100010,P047,3,16.0
100010,P031,3,18.02
100011,P047,1,15.16
100011,P038,4,12.54
100012,P025,3,12.66
100012,P009,1,14.18
100013,P041,4,17.92
100013,P018,1,10.51
100013,P017,3,15.51
100013,P009,1,14.16
100014,P022,3,10.73
100014,P020,3,14.23
100014,P027,3,12.0
100014,P049,1,9.41
100015,P025,3,12.77
100016,P027,4,12.49
100016,P023,3,16.67
100017,P014,1,12.26
100018,P046,4,15.69
100018,P009,2,14.21
100018,P026,1,17.16
100018,P005,2,7.34
100019,P005,1,8.71
100019,P044,4,16.03
100019,P028,1,13.56
100019,P030,2,11.05
100020,P048,2,13.38
100020,P039,4,16.67
100020,P048,4,14.17
100021,P026,3,17.58
100021,P047,3,14.64
100021,P017,4,14.47
100022,P039,3,16.37
100022,P012,1,18.59
100023,P027,4,12.57
100023,P003,2,15.43
100023,P028,2,15.02
100023,P000,3,18.61
100024,P028,1,13.7
100024,P031,3,17.11
100024,P043,2,16.34
100024,P042,1,10.16
100025,P042,3,9.03
100025,P027,1,11.92
100026,P022,4,11.1
100026,P027,4,12.12
100027,P023,1,18.23
100027,P044,2,15.14
100027,P010,2,11.84
100028,P009,3,14.99
100028,P022,1,9.85
100028,P013,4,13.25
100028,P041,4,18.34
100029,P002,2,10.25
100029,P015,3,9.77
100029,P015,4,9.41
100029,P005,4,8.65
100030,P004,1,8.18
100030,P027,1,12.29
100031,P000,2,18.3
100032,P031,3,16.9
100032,P004,1,8.17
100033,P018,1,11.1
100033,P012,3,18.58
100034,P029,1,12.07
100034,P037,4,15.4
100034,P014,4,13.02
100034,P039,3,16.01
100035,P048,4,14.41
100035,P010,1,13.28
100035,P009,4,14.15
100036,P031,2,18.22
100036,P014,2,12.76
100037,P025,3,12.86
100037,P041,1,17.64
