order_id,order_date,customer_id,store_id,order_channel,payment_method
100000,2024-05-10 20:20:00,C2854,S07,app,online
100001,2024-04-22 10:45:00,C1725,S15,web,online
100002,2024-01-22 10:23:00,C2013,S13,app,card
100003,2024-02-21 11:09:00,C1500,S12,phone,card
100004,2024-01-21 18:07:00,C1116,S12,web,cash
100005,2024-05-22 20:40:00,C1385,S04,phone,online
100006,2024-01-20 08:16:00,C2367,S15,phone,online
100007,2024-03-31 14:39:00,C1583,S10,app,card
100008,2024-02-06 03:54:00,C1394,S04,phone,card
100009,2024-04-20 20:46:00,C2087,S12,app,online
100010,2024-02-06 08:43:00,C2740,S10,web,online
100011,2024-05-21 14:57:00,C1720,S18,web,card
100012,2024-02-17 21:02:00,C1071,S02,phone,card
100013,2024-05-31 08:52:00,C2812,S14,app,card
100014,2024-04-05 05:39:00,C1273,S06,phone,cash
100015,2024-06-26 03:37:00,C2343,S06,phone,cash
100016,2024-02-06 17:07:00,C1337,S05,phone,card
100017,2024-03-06 03:47:00,C2389,S02,phone,cash
100018,2024-05-08 01:21:00,C2518,S12,app,online
100019,2024-03-15 14:15:00,C1606,S06,phone,online
100020,2024-02-23 18:24:00,C1165,S04,web,card
100021,2024-01-30 04:40:00,C2567,S17,app,online
100022,2024-01-08 04:09:00,C1010,S07,phone,online
100023,2024-04-09 18:51:00,C2324,S16,app,online
100024,2024-03-31 08:36:00,C1728,S19,phone,online
100025,2024-06-14 17:24:00,C1800,S00,web,online
100026,2024-02-07 19:25:00,C1101,S13,web,cash
100027,2024-05-05 06:48:00,C2448,S16,web,cash
100028,2024-06-18 20:52:00,C2415,S09,app,card
100029,2024-03-28 12:03:00,C1778,S11,web,online
100030,2024-03-01 04:25:00,C1213,S15,phone,cash
100031,2024-02-12 16:34:00,C2714,S13,phone,cash
100032,2024-01-01 11:57:00,C2111,S15,phone,cash
100033,2024-01-03 07:42:00,C2576,S07,app,online
100034,2024-05-02 06:24:00,C1400,S09,app,cash
100035,2024-01-17 04:51:00,C1587,S16,web,card
100036,2024-06-14 02:13:00,C1888,S17,app,card
100037,2024-01-21 02:28:00,C2069,S19,phone,online
100038,2024-06-01 01:11:00,C2695,S15,phone,card
100039,2024-04-14 12:30:00,C2486,S16,phone,cash
100040,2024-05-01 19:00:00,C1591,S15,app,online
100041,2024-03-30 22:46:00,C2333,S18,phone,card
100042,2024-01-28 03:37:00,C2109,S07,web,online
100043,2024-06-21 20:11:00,C1091,S05,app,cash
100044,2024-01-17 09:34:00,C2683,S05,phone,card
100045,2024-05-21 21:48:00,C1672,S08,phone,cash
100046,2024-04-03 03:40:00,C1713,S03,app,card
100047,2024-01-14 15:53:00,C1935,S11,app,online
100048,2024-05-11 17:17:00,C2951,S11,web,card
100049,2024-05-11 17:21:00,C1241,S16,app,card
100050,2024-01-19 10:32:00,C2888,S14,phone,card
100051,2024-06-13 17:02:00,C1001,S08,web,online
100052,2024-02-16 14:00:00,C1224,S06,phone,card
100053,2024-04-27 07:09:00,C1800,S09,phone,cash
